Country/Region,Date,Recovered
China,2020-10-14,85720
Denmark,2020-10-14,481
France,2020-10-14,22108
Netherlands,2020-10-14,5010
New Zealand,2020-10-14,0
United Kingdom,2020-10-14,2553
Australia,2020-10-15,21920
China,2020-10-15,85743
Denmark,2020-10-15,485
France,2020-10-15,22110
Netherlands,2020-10-15,5049
New Zealand,2020-10-15,0
United Kingdom,2020-10-15,2563
Australia,2020-10-16,21955
China,2020-10-16,85762
Denmark,2020-10-16,485
France,2020-10-16,22979
Netherlands,2020-10-16,5108
New Zealand,2020-10-16,0
United Kingdom,2020-10-16,2567
Australia,2020-10-17,21956
China,2020-10-17,85791
Denmark,2020-10-17,486
France,2020-10-17,23006
Netherlands,2020-10-17,5184
New Zealand,2020-10-17,0
United Kingdom,2020-10-17,2574
Australia,2020-10-18,21966
China,2020-10-18,85819
Denmark,2020-10-18,486
France,2020-10-18,23006
Netherlands,2020-10-18,5206
New Zealand,2020-10-18,0
United Kingdom,2020-10-18,2591
Australia,2020-10-19,21970
China,2020-10-19,85840
Denmark,2020-10-19,486
France,2020-10-19,23377
Netherlands,2020-10-19,5294
New Zealand,2020-10-19,0
United Kingdom,2020-10-19,2615
Australia,2020-10-20,21984
China,2020-10-20,85873
Denmark,2020-10-20,488
France,2020-10-20,23377
Netherlands,2020-10-20,5327
New Zealand,2020-10-20,0
United Kingdom,2020-10-20,2628
Australia,2020-10-21,22007
China,2020-10-21,85899
Denmark,2020-10-21,489
France,2020-10-21,23764
Netherlands,2020-10-21,5365
New Zealand,2020-10-21,0
United Kingdom,2020-10-21,2638
Australia,2020-10-22,22018
China,2020-10-22,85929
Denmark,2020-10-22,489
France,2020-10-22,23764
Netherlands,2020-10-22,5431
New Zealand,2020-10-22,0
United Kingdom,2020-10-22,2654
Australia,2020-10-23,22028
China,2020-10-23,85950
Denmark,2020-10-23,489
France,2020-10-23,24036
Netherlands,2020-10-23,5517
New Zealand,2020-10-23,0
United Kingdom,2020-10-23,2659
Australia,2020-10-24,22034
China,2020-10-24,85974
Denmark,2020-10-24,489
France,2020-10-24,24036
Netherlands,2020-10-24,5567
New Zealand,2020-10-24,0
United Kingdom,2020-10-24,2678
Australia,2020-10-25,22051
China,2020-10-25,86002
Denmark,2020-10-25,494
France,2020-10-25,24098
Netherlands,2020-10-25,5619
New Zealand,2020-10-25,0
United Kingdom,2020-10-25,2687
Australia,2020-10-26,22065
China,2020-10-26,86018
Denmark,2020-10-26,494
France,2020-10-26,24503
Netherlands,2020-10-26,5648
New Zealand,2020-10-26,0
United Kingdom,2020-10-26,2704
Australia,2020-10-27,22072
China,2020-10-27,86031
Denmark,2020-10-27,494
France,2020-10-27,24570
Netherlands,2020-10-27,5699
New Zealand,2020-10-27,0
United Kingdom,2020-10-27,2721
Australia,2020-10-28,22084
China,2020-10-28,86049
Denmark,2020-10-28,494
France,2020-10-28,25365
Netherlands,2020-10-28,5738
New Zealand,2020-10-28,0
United Kingdom,2020-10-28,2775
Australia,2020-10-29,22091
China,2020-10-29,86082
Denmark,2020-10-29,495
France,2020-10-29,25365
Netherlands,2020-10-29,5804
New Zealand,2020-10-29,0
United Kingdom,2020-10-29,2801
Australia,2020-10-30,22173
China,2020-10-30,86111
Denmark,2020-10-30,496
France,2020-10-30,25620
Netherlands,2020-10-30,5844
New Zealand,2020-10-30,0
United Kingdom,2020-10-30,2813
Australia,2020-10-31,22188
China,2020-10-31,86135
Denmark,2020-10-31,497
France,2020-10-31,25620
Netherlands,2020-10-31,5882
New Zealand,2020-10-31,0
United Kingdom,2020-10-31,2841
Australia,2020-11-01,22204
China,2020-11-01,86162
Denmark,2020-11-01,506
France,2020-11-01,25620
Netherlands,2020-11-01,5908
New Zealand,2020-11-01,0
United Kingdom,2020-11-01,2843
Australia,2020-11-02,22236
China,2020-11-02,86189
Denmark,2020-11-02,506
France,2020-11-02,25620
Netherlands,2020-11-02,5934
New Zealand,2020-11-02,0
United Kingdom,2020-11-02,2852
Australia,2020-11-03,22257
China,2020-11-03,86212
Denmark,2020-11-03,506
France,2020-11-03,25620
Netherlands,2020-11-03,5975
New Zealand,2020-11-03,0
United Kingdom,2020-11-03,2908
Australia,2020-11-04,22267
China,2020-11-04,86241
Denmark,2020-11-04,506
France,2020-11-04,25664
Netherlands,2020-11-04,6007
New Zealand,2020-11-04,0
United Kingdom,2020-11-04,2927
Australia,2020-11-05,22274
China,2020-11-05,86264
Denmark,2020-11-05,507
France,2020-11-05,25664
Netherlands,2020-11-05,6045
New Zealand,2020-11-05,0
United Kingdom,2020-11-05,2933
Australia,2020-11-06,22287
China,2020-11-06,86301
Denmark,2020-11-06,509
France,2020-11-06,26160
Netherlands,2020-11-06,6075
New Zealand,2020-11-06,0
United Kingdom,2020-11-06,2953
Australia,2020-11-07,22295
China,2020-11-07,86344
Denmark,2020-11-07,510
France,2020-11-07,26160
Netherlands,2020-11-07,6123
New Zealand,2020-11-07,0
United Kingdom,2020-11-07,2967
Australia,2020-11-08,22295
China,2020-11-08,86369
Denmark,2020-11-08,510
France,2020-11-08,26160
Netherlands,2020-11-08,6137
New Zealand,2020-11-08,0
United Kingdom,2020-11-08,2985
Australia,2020-11-09,22298
China,2020-11-09,86393
Denmark,2020-11-09,510
France,2020-11-09,26160
Netherlands,2020-11-09,6157
New Zealand,2020-11-09,0
United Kingdom,2020-11-09,3000
Australia,2020-11-10,22298
China,2020-11-10,86421
Denmark,2020-11-10,510
France,2020-11-10,26160
Netherlands,2020-11-10,6185
New Zealand,2020-11-10,0
United Kingdom,2020-11-10,3010
Australia,2020-11-11,22299
China,2020-11-11,86451
Denmark,2020-11-11,511
France,2020-11-11,26160
Netherlands,2020-11-11,6246
New Zealand,2020-11-11,0
United Kingdom,2020-11-11,3020
Australia,2020-11-12,22303
China,2020-11-12,86488
Denmark,2020-11-12,511
France,2020-11-12,26195
Netherlands,2020-11-12,6372
New Zealand,2020-11-12,0
United Kingdom,2020-11-12,3033
Australia,2020-11-13,22307
China,2020-11-13,86518
Denmark,2020-11-13,511
France,2020-11-13,26743
Netherlands,2020-11-13,6410
New Zealand,2020-11-13,0
United Kingdom,2020-11-13,3091
Australia,2020-11-14,22311
China,2020-11-14,86543
Denmark,2020-11-14,511
France,2020-11-14,26743
Netherlands,2020-11-14,6430
New Zealand,2020-11-14,0
United Kingdom,2020-11-14,3110
Australia,2020-11-15,22312
China,2020-11-15,86572
Denmark,2020-11-15,512
France,2020-11-15,26743
Netherlands,2020-11-15,6448
New Zealand,2020-11-15,0
United Kingdom,2020-11-15,3123
Australia,2020-11-16,22333
China,2020-11-16,86616
Denmark,2020-11-16,512
France,2020-11-16,26743
Netherlands,2020-11-16,6488
New Zealand,2020-11-16,0
United Kingdom,2020-11-16,3137
Australia,2020-11-17,22338
China,2020-11-17,86667
Denmark,2020-11-17,512
France,2020-11-17,26744
Netherlands,2020-11-17,6511
New Zealand,2020-11-17,0
United Kingdom,2020-11-17,3150
Australia,2020-11-18,22339
China,2020-11-18,86700
Denmark,2020-11-18,512
France,2020-11-18,26802
Netherlands,2020-11-18,6536
New Zealand,2020-11-18,0
United Kingdom,2020-11-18,3209
Australia,2020-11-19,22341
China,2020-11-19,86727
Denmark,2020-11-19,513
France,2020-11-19,26803
Netherlands,2020-11-19,6566
New Zealand,2020-11-19,0
United Kingdom,2020-11-19,3245
Australia,2020-11-20,22348
China,2020-11-20,86751
Denmark,2020-11-20,513
France,2020-11-20,27535
Netherlands,2020-11-20,6592
New Zealand,2020-11-20,0
United Kingdom,2020-11-20,3263
Australia,2020-11-21,22349
China,2020-11-21,86769
Denmark,2020-11-21,513
France,2020-11-21,27537
Netherlands,2020-11-21,6618
New Zealand,2020-11-21,0
United Kingdom,2020-11-21,3313
Australia,2020-11-22,22352
China,2020-11-22,86792
Denmark,2020-11-22,515
France,2020-11-22,27537
Netherlands,2020-11-22,6642
New Zealand,2020-11-22,0
United Kingdom,2020-11-22,3325
Australia,2020-11-23,22358
China,2020-11-23,86816
Denmark,2020-11-23,515
France,2020-11-23,27537
Netherlands,2020-11-23,6693
New Zealand,2020-11-23,0
United Kingdom,2020-11-23,3336
Australia,2020-11-24,22362
China,2020-11-24,86847
Denmark,2020-11-24,516
France,2020-11-24,27537
Netherlands,2020-11-24,6722
New Zealand,2020-11-24,0
United Kingdom,2020-11-24,3408
Australia,2020-11-25,22369
China,2020-11-25,86888
Denmark,2020-11-25,516
France,2020-11-25,27537
Netherlands,2020-11-25,6763
New Zealand,2020-11-25,0
United Kingdom,2020-11-25,3448
Australia,2020-11-26,22390
China,2020-11-26,86900
Denmark,2020-11-26,516
France,2020-11-26,27537
Netherlands,2020-11-26,6801
New Zealand,2020-11-26,0
United Kingdom,2020-11-26,3457
Australia,2020-11-27,22404
China,2020-11-27,86937
Denmark,2020-11-27,516
France,2020-11-27,27537
Netherlands,2020-11-27,6853
New Zealand,2020-11-27,0
United Kingdom,2020-11-27,3465
Australia,2020-11-28,22407
China,2020-11-28,86968
Denmark,2020-11-28,516
France,2020-11-28,28049
Netherlands,2020-11-28,6889
New Zealand,2020-11-28,0
United Kingdom,2020-11-28,3503
Australia,2020-11-29,22411
China,2020-11-29,86998
Denmark,2020-11-29,516
France,2020-11-29,28049
Netherlands,2020-11-29,6921
New Zealand,2020-11-29,0
United Kingdom,2020-11-29,3517
Australia,2020-11-30,22420
China,2020-11-30,87017
Denmark,2020-11-30,516
France,2020-11-30,28103
Netherlands,2020-11-30,6947
New Zealand,2020-11-30,0
United Kingdom,2020-11-30,3573
Australia,2020-12-01,22423
China,2020-12-01,87051
Denmark,2020-12-01,518
France,2020-12-01,28105
Netherlands,2020-12-01,7017
New Zealand,2020-12-01,0
United Kingdom,2020-12-01,3592
Australia,2020-12-02,22431
China,2020-12-02,87101
Denmark,2020-12-02,518
France,2020-12-02,28105
Netherlands,2020-12-02,7066
New Zealand,2020-12-02,0
United Kingdom,2020-12-02,3605
Australia,2020-12-03,22443
China,2020-12-03,87147
Denmark,2020-12-03,518
France,2020-12-03,28105
Netherlands,2020-12-03,7129
New Zealand,2020-12-03,0
United Kingdom,2020-12-03,3626
Australia,2020-12-04,22448
China,2020-12-04,87204
Denmark,2020-12-04,518
France,2020-12-04,28662
Netherlands,2020-12-04,7203
New Zealand,2020-12-04,0
United Kingdom,2020-12-04,3640
Australia,2020-12-05,22453
China,2020-12-05,87259
Denmark,2020-12-05,518
France,2020-12-05,28662
Netherlands,2020-12-05,7266
New Zealand,2020-12-05,0
United Kingdom,2020-12-05,3653
Australia,2020-12-06,22456
China,2020-12-06,87331
Denmark,2020-12-06,519
France,2020-12-06,28662
Netherlands,2020-12-06,7300
New Zealand,2020-12-06,0
United Kingdom,2020-12-06,3739
Australia,2020-12-07,22460
China,2020-12-07,87404
Denmark,2020-12-07,519
France,2020-12-07,28662
Netherlands,2020-12-07,7341
New Zealand,2020-12-07,0
United Kingdom,2020-12-07,3750
Australia,2020-12-08,22461
China,2020-12-08,87483
Denmark,2020-12-08,520
France,2020-12-08,28718
Netherlands,2020-12-08,7413
New Zealand,2020-12-08,0
United Kingdom,2020-12-08,3768
Australia,2020-12-09,22473
China,2020-12-09,87582
Denmark,2020-12-09,521
France,2020-12-09,28718
Netherlands,2020-12-09,7551
New Zealand,2020-12-09,0
United Kingdom,2020-12-09,3781
Australia,2020-12-10,22474
China,2020-12-10,87707
Denmark,2020-12-10,521
France,2020-12-10,28718
Netherlands,2020-12-10,7651
New Zealand,2020-12-10,0
United Kingdom,2020-12-10,3790
Australia,2020-12-11,22480
China,2020-12-11,87815
Denmark,2020-12-11,521
France,2020-12-11,29026
Netherlands,2020-12-11,7747
New Zealand,2020-12-11,0
United Kingdom,2020-12-11,3802
Australia,2020-12-12,22484
China,2020-12-12,87944
Denmark,2020-12-12,524
France,2020-12-12,29026
Netherlands,2020-12-12,7838
New Zealand,2020-12-12,0
United Kingdom,2020-12-12,3808
Australia,2020-12-13,22485
China,2020-12-13,88041
Denmark,2020-12-13,524
France,2020-12-13,29026
Netherlands,2020-12-13,7872
New Zealand,2020-12-13,0
United Kingdom,2020-12-13,4016
Australia,2020-12-14,22498
China,2020-12-14,88122
Denmark,2020-12-14,524
France,2020-12-14,29029
Netherlands,2020-12-14,7944
New Zealand,2020-12-14,0
United Kingdom,2020-12-14,4051
Australia,2020-12-15,22498
China,2020-12-15,88211
Denmark,2020-12-15,524
France,2020-12-15,29029
Netherlands,2020-12-15,8077
New Zealand,2020-12-15,0
United Kingdom,2020-12-15,4096
Australia,2020-12-16,22504
China,2020-12-16,88326
Denmark,2020-12-16,530
France,2020-12-16,29029
Netherlands,2020-12-16,8152
New Zealand,2020-12-16,0
United Kingdom,2020-12-16,4109
Australia,2020-12-17,22507
China,2020-12-17,88429
Denmark,2020-12-17,530
France,2020-12-17,29029
Netherlands,2020-12-17,8324
New Zealand,2020-12-17,0
United Kingdom,2020-12-17,4126
Australia,2020-12-18,22508
China,2020-12-18,88538
Denmark,2020-12-18,534
France,2020-12-18,29350
Netherlands,2020-12-18,8461
New Zealand,2020-12-18,0
United Kingdom,2020-12-18,4267
Australia,2020-12-19,22512
China,2020-12-19,88666
Denmark,2020-12-19,535
France,2020-12-19,29350
Netherlands,2020-12-19,8517
New Zealand,2020-12-19,0
United Kingdom,2020-12-19,4357
Australia,2020-12-20,22517
China,2020-12-20,88781
Denmark,2020-12-20,537
France,2020-12-20,29350
Netherlands,2020-12-20,8589
New Zealand,2020-12-20,0
United Kingdom,2020-12-20,4378
Australia,2020-12-21,22524
China,2020-12-21,88861
Denmark,2020-12-21,537
France,2020-12-21,29350
Netherlands,2020-12-21,8627
New Zealand,2020-12-21,0
United Kingdom,2020-12-21,4389
Australia,2020-12-22,22526
China,2020-12-22,88963
Denmark,2020-12-22,543
France,2020-12-22,29352
Netherlands,2020-12-22,8743
New Zealand,2020-12-22,0
United Kingdom,2020-12-22,4412
Australia,2020-12-23,22530
China,2020-12-23,89104
Denmark,2020-12-23,545
France,2020-12-23,29438
Netherlands,2020-12-23,8802
New Zealand,2020-12-23,0
United Kingdom,2020-12-23,4726
Australia,2020-12-24,22532
China,2020-12-24,89205
Denmark,2020-12-24,545
France,2020-12-24,29438
Netherlands,2020-12-24,8873
New Zealand,2020-12-24,0
United Kingdom,2020-12-24,4824
Australia,2020-12-25,22535
China,2020-12-25,89330
Denmark,2020-12-25,545
France,2020-12-25,29715
Netherlands,2020-12-25,8933
New Zealand,2020-12-25,0
United Kingdom,2020-12-25,4825
Australia,2020-12-26,22536
China,2020-12-26,89423
Denmark,2020-12-26,549
France,2020-12-26,29715
Netherlands,2020-12-26,8974
New Zealand,2020-12-26,0
United Kingdom,2020-12-26,4913
Australia,2020-12-27,22539
China,2020-12-27,89518
Denmark,2020-12-27,550
France,2020-12-27,29715
Netherlands,2020-12-27,9033
New Zealand,2020-12-27,0
United Kingdom,2020-12-27,5096
Australia,2020-12-28,22554
China,2020-12-28,89586
Denmark,2020-12-28,554
France,2020-12-28,29715
Netherlands,2020-12-28,9150
New Zealand,2020-12-28,0
United Kingdom,2020-12-28,5105
Australia,2020-12-29,22558
China,2020-12-29,89697
Denmark,2020-12-29,554
France,2020-12-29,29715
Netherlands,2020-12-29,9257
New Zealand,2020-12-29,0
United Kingdom,2020-12-29,5297
Australia,2020-12-30,22564
China,2020-12-30,89813
Denmark,2020-12-30,561
France,2020-12-30,29716
Netherlands,2020-12-30,9389
New Zealand,2020-12-30,0
United Kingdom,2020-12-30,5417
Australia,2020-12-31,22565
China,2020-12-31,89923
Denmark,2020-12-31,568
France,2020-12-31,29716
Netherlands,2020-12-31,9585
New Zealand,2020-12-31,0
United Kingdom,2020-12-31,5482
Australia,2021-01-01,22573
China,2021-01-01,90031
Denmark,2021-01-01,572
France,2021-01-01,29926
Netherlands,2021-01-01,9651
New Zealand,2021-01-01,0
United Kingdom,2021-01-01,5682
Australia,2021-01-02,22581
China,2021-01-02,90099
Denmark,2021-01-02,579
France,2021-01-02,29926
Netherlands,2021-01-02,9694
New Zealand,2021-01-02,0
United Kingdom,2021-01-02,5747
Australia,2021-01-03,22581
China,2021-01-03,90159
Denmark,2021-01-03,585
France,2021-01-03,29927
Netherlands,2021-01-03,9919
New Zealand,2021-01-03,0
United Kingdom,2021-01-03,6097
Australia,2021-01-04,22588
China,2021-01-04,90213
Denmark,2021-01-04,587
France,2021-01-04,29927
Netherlands,2021-01-04,10048
New Zealand,2021-01-04,0
United Kingdom,2021-01-04,6263
Australia,2021-01-05,22592
China,2021-01-05,90306
Denmark,2021-01-05,593
France,2021-01-05,29927
Netherlands,2021-01-05,10122
New Zealand,2021-01-05,0
United Kingdom,2021-01-05,6386
Australia,2021-01-06,22600
China,2021-01-06,90400
Denmark,2021-01-06,604
France,2021-01-06,29928
Netherlands,2021-01-06,10303
New Zealand,2021-01-06,0
United Kingdom,2021-01-06,6452
Australia,2021-01-07,22606
China,2021-01-07,90478
Denmark,2021-01-07,609
France,2021-01-07,29929
Netherlands,2021-01-07,10376
New Zealand,2021-01-07,0
United Kingdom,2021-01-07,6524
Australia,2021-01-08,22606
China,2021-01-08,90543
Denmark,2021-01-08,612
France,2021-01-08,30054
Netherlands,2021-01-08,10514
New Zealand,2021-01-08,0
United Kingdom,2021-01-08,6702
Australia,2021-01-09,22612
China,2021-01-09,90630
Denmark,2021-01-09,624
France,2021-01-09,30054
Netherlands,2021-01-09,10716
New Zealand,2021-01-09,0
United Kingdom,2021-01-09,6855
Australia,2021-01-10,22621
China,2021-01-10,90697
Denmark,2021-01-10,635
France,2021-01-10,30054
Netherlands,2021-01-10,10952
New Zealand,2021-01-10,0
United Kingdom,2021-01-10,7013
Australia,2021-01-11,22627
China,2021-01-11,90772
Denmark,2021-01-11,638
France,2021-01-11,30054
Netherlands,2021-01-11,11089
New Zealand,2021-01-11,0
United Kingdom,2021-01-11,7153
Australia,2021-01-12,22643
China,2021-01-12,90857
Denmark,2021-01-12,646
France,2021-01-12,30054
Netherlands,2021-01-12,11174
New Zealand,2021-01-12,0
United Kingdom,2021-01-12,7352
Australia,2021-01-13,22650
China,2021-01-13,90953
Denmark,2021-01-13,647
France,2021-01-13,30055
Netherlands,2021-01-13,11297
New Zealand,2021-01-13,0
United Kingdom,2021-01-13,7434
Australia,2021-01-14,22657
China,2021-01-14,91026
Denmark,2021-01-14,652
France,2021-01-14,30055
Netherlands,2021-01-14,11528
New Zealand,2021-01-14,0
United Kingdom,2021-01-14,7584
Australia,2021-01-15,22668
China,2021-01-15,91100
Denmark,2021-01-15,655
France,2021-01-15,30278
Netherlands,2021-01-15,11681
New Zealand,2021-01-15,0
United Kingdom,2021-01-15,7695
Australia,2021-01-16,22684
China,2021-01-16,91158
Denmark,2021-01-16,659
France,2021-01-16,30278
Netherlands,2021-01-16,11786
New Zealand,2021-01-16,0
United Kingdom,2021-01-16,7866
Australia,2021-01-17,22692
China,2021-01-17,91205
Denmark,2021-01-17,670
France,2021-01-17,30278
Netherlands,2021-01-17,11890
New Zealand,2021-01-17,0
United Kingdom,2021-01-17,8046
Australia,2021-01-18,22698
China,2021-01-18,91263
Denmark,2021-01-18,671
France,2021-01-18,30281
Netherlands,2021-01-18,11983
New Zealand,2021-01-18,0
United Kingdom,2021-01-18,8250
Australia,2021-01-19,22709
China,2021-01-19,91322
Denmark,2021-01-19,673
France,2021-01-19,30281
Netherlands,2021-01-19,12038
New Zealand,2021-01-19,0
United Kingdom,2021-01-19,8367
Australia,2021-01-20,22716
China,2021-01-20,91382
Denmark,2021-01-20,673
France,2021-01-20,30464
Netherlands,2021-01-20,12102
New Zealand,2021-01-20,0
United Kingdom,2021-01-20,8496
Australia,2021-01-21,22725
China,2021-01-21,91382
Denmark,2021-01-21,673
France,2021-01-21,30464
Netherlands,2021-01-21,12155
New Zealand,2021-01-21,0
United Kingdom,2021-01-21,8585
Australia,2021-01-22,22735
China,2021-01-22,91526
Denmark,2021-01-22,674
France,2021-01-22,30675
Netherlands,2021-01-22,12258
New Zealand,2021-01-22,0
United Kingdom,2021-01-22,8682
Australia,2021-01-23,22748
China,2021-01-23,91609
Denmark,2021-01-23,674
France,2021-01-23,30675
Netherlands,2021-01-23,12335
New Zealand,2021-01-23,0
United Kingdom,2021-01-23,8830
Australia,2021-01-24,22759
China,2021-01-24,91709
Denmark,2021-01-24,674
France,2021-01-24,30675
Netherlands,2021-01-24,12428
New Zealand,2021-01-24,0
United Kingdom,2021-01-24,8950
Australia,2021-01-25,22761
China,2021-01-25,91775
Denmark,2021-01-25,674
France,2021-01-25,30675
Netherlands,2021-01-25,12510
New Zealand,2021-01-25,0
United Kingdom,2021-01-25,9040
Australia,2021-01-26,22766
China,2021-01-26,91920
Denmark,2021-01-26,675
France,2021-01-26,30675
Netherlands,2021-01-26,12582
New Zealand,2021-01-26,0
United Kingdom,2021-01-26,9164
Australia,2021-01-27,22779
China,2021-01-27,92076
Denmark,2021-01-27,675
France,2021-01-27,30675
Netherlands,2021-01-27,12649
New Zealand,2021-01-27,0
United Kingdom,2021-01-27,9250
Australia,2021-01-28,22781
China,2021-01-28,92223
Denmark,2021-01-28,675
France,2021-01-28,30762
Netherlands,2021-01-28,12697
New Zealand,2021-01-28,0
United Kingdom,2021-01-28,9353
Australia,2021-01-29,22791
China,2021-01-29,92321
Denmark,2021-01-29,678
France,2021-01-29,31020
Netherlands,2021-01-29,12789
New Zealand,2021-01-29,0
United Kingdom,2021-01-29,9408
Australia,2021-01-30,22802
China,2021-01-30,92622
Denmark,2021-01-30,678
France,2021-01-30,31023
Netherlands,2021-01-30,12839
New Zealand,2021-01-30,0
United Kingdom,2021-01-30,9584
Australia,2021-01-31,22805
China,2021-01-31,92779
Denmark,2021-01-31,678
France,2021-01-31,31023
Netherlands,2021-01-31,12910
New Zealand,2021-01-31,0
United Kingdom,2021-01-31,9656
Australia,2021-02-01,22808
China,2021-02-01,92891
Denmark,2021-02-01,678
France,2021-02-01,31033
Netherlands,2021-02-01,12974
New Zealand,2021-02-01,0
United Kingdom,2021-02-01,9739
Australia,2021-02-02,22814
China,2021-02-02,93060
Denmark,2021-02-02,680
France,2021-02-02,31033
Netherlands,2021-02-02,13046
New Zealand,2021-02-02,0
United Kingdom,2021-02-02,9822
Australia,2021-02-03,22822
China,2021-02-03,93280
Denmark,2021-02-03,680
France,2021-02-03,31033
Netherlands,2021-02-03,13103
New Zealand,2021-02-03,0
United Kingdom,2021-02-03,9940
Australia,2021-02-04,22822
China,2021-02-04,93459
Denmark,2021-02-04,680
France,2021-02-04,31033
Netherlands,2021-02-04,13156
New Zealand,2021-02-04,0
United Kingdom,2021-02-04,10015
Australia,2021-02-05,22825
China,2021-02-05,93606
Denmark,2021-02-05,682
France,2021-02-05,31274
Netherlands,2021-02-05,13218
New Zealand,2021-02-05,0
United Kingdom,2021-02-05,10098
Australia,2021-02-06,22827
China,2021-02-06,93752
Denmark,2021-02-06,682
France,2021-02-06,31274
Netherlands,2021-02-06,13286
New Zealand,2021-02-06,0
United Kingdom,2021-02-06,10186
Australia,2021-02-07,22830
China,2021-02-07,93883
Denmark,2021-02-07,682
France,2021-02-07,31274
Netherlands,2021-02-07,13329
New Zealand,2021-02-07,0
United Kingdom,2021-02-07,10274
Australia,2021-02-08,22837
China,2021-02-08,93989
Denmark,2021-02-08,682
France,2021-02-08,31275
Netherlands,2021-02-08,13394
New Zealand,2021-02-08,0
United Kingdom,2021-02-08,10327
Australia,2021-02-09,22844
China,2021-02-09,94147
Denmark,2021-02-09,682
France,2021-02-09,31275
Netherlands,2021-02-09,13444
New Zealand,2021-02-09,0
United Kingdom,2021-02-09,10431
Australia,2021-02-10,22846
China,2021-02-10,94288
Denmark,2021-02-10,682
France,2021-02-10,31555
Netherlands,2021-02-10,13477
New Zealand,2021-02-10,0
United Kingdom,2021-02-10,10499
Australia,2021-02-11,22850
China,2021-02-11,94413
Denmark,2021-02-11,682
France,2021-02-11,31556
Netherlands,2021-02-11,13568
New Zealand,2021-02-11,0
United Kingdom,2021-02-11,10602
Australia,2021-02-12,22854
China,2021-02-12,94536
Denmark,2021-02-12,683
France,2021-02-12,31557
Netherlands,2021-02-12,13626
New Zealand,2021-02-12,0
United Kingdom,2021-02-12,10659
Australia,2021-02-13,22858
China,2021-02-13,94641
Denmark,2021-02-13,683
France,2021-02-13,31557
Netherlands,2021-02-13,13695
New Zealand,2021-02-13,0
United Kingdom,2021-02-13,10854
Australia,2021-02-14,22864
China,2021-02-14,94728
Denmark,2021-02-14,683
France,2021-02-14,31557
Netherlands,2021-02-14,13728
New Zealand,2021-02-14,0
United Kingdom,2021-02-14,10918
Australia,2021-02-15,22866
China,2021-02-15,94796
Denmark,2021-02-15,684
France,2021-02-15,31557
Netherlands,2021-02-15,13765
New Zealand,2021-02-15,0
United Kingdom,2021-02-15,10963
Australia,2021-02-16,22870
China,2021-02-16,94875
Denmark,2021-02-16,684
France,2021-02-16,31557
Netherlands,2021-02-16,13809
New Zealand,2021-02-16,0
United Kingdom,2021-02-16,11026
Australia,2021-02-17,22871
China,2021-02-17,94960
Denmark,2021-02-17,684
France,2021-02-17,32085
Netherlands,2021-02-17,13848
New Zealand,2021-02-17,0
United Kingdom,2021-02-17,11103
Australia,2021-02-18,22874
China,2021-02-18,95034
Denmark,2021-02-18,684
France,2021-02-18,32085
Netherlands,2021-02-18,13913
New Zealand,2021-02-18,0
United Kingdom,2021-02-18,11164
Australia,2021-02-19,22879
China,2021-02-19,95109
Denmark,2021-02-19,684
France,2021-02-19,32085
Netherlands,2021-02-19,13974
New Zealand,2021-02-19,0
United Kingdom,2021-02-19,11254
Australia,2021-02-20,22881
China,2021-02-20,95179
Denmark,2021-02-20,685
France,2021-02-20,32085
Netherlands,2021-02-20,14029
New Zealand,2021-02-20,0
United Kingdom,2021-02-20,11297
Australia,2021-02-21,22882
China,2021-02-21,95239
Denmark,2021-02-21,685
France,2021-02-21,32085
Netherlands,2021-02-21,14061
New Zealand,2021-02-21,0
United Kingdom,2021-02-21,11315
Australia,2021-02-22,22885
China,2021-02-22,95288
Denmark,2021-02-22,685
France,2021-02-22,32091
Netherlands,2021-02-22,14117
New Zealand,2021-02-22,0
United Kingdom,2021-02-22,11346
Australia,2021-02-23,22892
China,2021-02-23,95327
Denmark,2021-02-23,685
France,2021-02-23,32655
Netherlands,2021-02-23,14148
New Zealand,2021-02-23,0
United Kingdom,2021-02-23,11457
Australia,2021-02-24,22897
China,2021-02-24,95456
Denmark,2021-02-24,686
France,2021-02-24,33349
Netherlands,2021-02-24,14219
New Zealand,2021-02-24,0
United Kingdom,2021-02-24,11474
Australia,2021-02-25,22900
China,2021-02-25,95513
Denmark,2021-02-25,686
France,2021-02-25,33349
Netherlands,2021-02-25,14286
New Zealand,2021-02-25,0
United Kingdom,2021-02-25,11504
Australia,2021-02-26,22902
China,2021-02-26,95556
Denmark,2021-02-26,687
France,2021-02-26,33350
Netherlands,2021-02-26,14330
New Zealand,2021-02-26,0
United Kingdom,2021-02-26,11579
Australia,2021-02-27,22903
China,2021-02-27,95603
Denmark,2021-02-27,687
France,2021-02-27,33350
Netherlands,2021-02-27,14378
New Zealand,2021-02-27,0
United Kingdom,2021-02-27,11602
Australia,2021-02-28,22909
China,2021-02-28,95646
Denmark,2021-02-28,687
France,2021-02-28,33350
Netherlands,2021-02-28,14416
New Zealand,2021-02-28,0
United Kingdom,2021-02-28,11643
Australia,2021-03-01,22914
China,2021-03-01,95677
Denmark,2021-03-01,687
France,2021-03-01,33350
Netherlands,2021-03-01,14484
New Zealand,2021-03-01,0
United Kingdom,2021-03-01,11646
Australia,2021-03-02,22917
China,2021-03-02,95718
Denmark,2021-03-02,687
France,2021-03-02,34036
Netherlands,2021-03-02,14533
New Zealand,2021-03-02,0
United Kingdom,2021-03-02,11662
