Country/Region,Date,Confirmed
Canada,2020-12-13,467278
China,2020-12-13,94328
Denmark,2020-12-13,547
France,2020-12-13,56373
Netherlands,2020-12-13,10080
New Zealand,2020-12-13,0
United Kingdom,2020-12-13,4950
Australia,2020-12-14,28048
Canada,2020-12-14,475823
China,2020-12-14,94427
Denmark,2020-12-14,547
France,2020-12-14,56502
Netherlands,2020-12-14,10141
New Zealand,2020-12-14,0
United Kingdom,2020-12-14,5059
Australia,2020-12-15,28060
Canada,2020-12-15,482174
China,2020-12-15,94537
Denmark,2020-12-15,549
France,2020-12-15,57099
Netherlands,2020-12-15,10224
New Zealand,2020-12-15,0
United Kingdom,2020-12-15,5207
Australia,2020-12-16,28072
Canada,2020-12-16,488992
China,2020-12-16,94626
Denmark,2020-12-16,551
France,2020-12-16,57255
Netherlands,2020-12-16,10326
New Zealand,2020-12-16,0
United Kingdom,2020-12-16,5308
Australia,2020-12-17,28093
Canada,2020-12-17,496377
China,2020-12-17,94734
Denmark,2020-12-17,553
France,2020-12-17,57573
Netherlands,2020-12-17,10418
New Zealand,2020-12-17,0
United Kingdom,2020-12-17,5420
Australia,2020-12-18,28126
Canada,2020-12-18,503571
China,2020-12-18,94821
Denmark,2020-12-18,553
France,2020-12-18,57774
Netherlands,2020-12-18,10511
New Zealand,2020-12-18,0
United Kingdom,2020-12-18,5581
Australia,2020-12-19,28168
Canada,2020-12-19,509744
China,2020-12-19,94953
Denmark,2020-12-19,558
France,2020-12-19,58100
Netherlands,2020-12-19,10577
New Zealand,2020-12-19,0
United Kingdom,2020-12-19,5741
Australia,2020-12-20,28198
Canada,2020-12-20,515813
China,2020-12-20,95050
Denmark,2020-12-20,565
France,2020-12-20,58339
Netherlands,2020-12-20,10617
New Zealand,2020-12-20,0
United Kingdom,2020-12-20,5919
Australia,2020-12-21,28219
Canada,2020-12-21,523441
China,2020-12-21,95150
Denmark,2020-12-21,572
France,2020-12-21,58502
Netherlands,2020-12-21,10667
New Zealand,2020-12-21,0
United Kingdom,2020-12-21,6001
Australia,2020-12-22,28237
Canada,2020-12-22,529965
China,2020-12-22,95228
Denmark,2020-12-22,575
France,2020-12-22,58729
Netherlands,2020-12-22,10746
New Zealand,2020-12-22,0
United Kingdom,2020-12-22,6207
Australia,2020-12-23,28262
Canada,2020-12-23,536654
China,2020-12-23,95298
Denmark,2020-12-23,581
France,2020-12-23,58911
Netherlands,2020-12-23,10831
New Zealand,2020-12-23,0
United Kingdom,2020-12-23,6329
Australia,2020-12-24,28274
Canada,2020-12-24,543007
China,2020-12-24,95383
Denmark,2020-12-24,586
France,2020-12-24,59088
Netherlands,2020-12-24,10923
New Zealand,2020-12-24,0
United Kingdom,2020-12-24,6479
Australia,2020-12-25,28297
Canada,2020-12-25,548931
China,2020-12-25,95460
Denmark,2020-12-25,593
France,2020-12-25,59226
Netherlands,2020-12-25,10981
New Zealand,2020-12-25,0
United Kingdom,2020-12-25,6623
Australia,2020-12-26,28308
Canada,2020-12-26,554308
China,2020-12-26,95541
Denmark,2020-12-26,597
France,2020-12-26,59289
Netherlands,2020-12-26,11002
New Zealand,2020-12-26,0
United Kingdom,2020-12-26,6767
Australia,2020-12-27,28337
Canada,2020-12-27,559852
China,2020-12-27,95632
Denmark,2020-12-27,605
France,2020-12-27,59923
Netherlands,2020-12-27,11024
New Zealand,2020-12-27,0
United Kingdom,2020-12-27,6863
Australia,2020-12-28,28349
Canada,2020-12-28,566122
China,2020-12-28,95720
Denmark,2020-12-28,608
France,2020-12-28,60075
Netherlands,2020-12-28,11067
New Zealand,2020-12-28,0
United Kingdom,2020-12-28,6925
Australia,2020-12-29,28381
Canada,2020-12-29,575527
China,2020-12-29,95797
Denmark,2020-12-29,627
France,2020-12-29,60377
Netherlands,2020-12-29,11157
New Zealand,2020-12-29,0
United Kingdom,2020-12-29,7077
Australia,2020-12-30,28405
Canada,2020-12-30,583241
China,2020-12-30,95876
Denmark,2020-12-30,632
France,2020-12-30,60534
Netherlands,2020-12-30,11292
New Zealand,2020-12-30,0
United Kingdom,2020-12-30,7292
Australia,2020-12-31,28425
Canada,2020-12-31,590236
China,2020-12-31,95963
Denmark,2020-12-31,637
France,2020-12-31,60758
Netherlands,2020-12-31,11401
New Zealand,2020-12-31,0
United Kingdom,2020-12-31,7407
Australia,2021-01-01,28460
Canada,2021-01-01,596569
China,2021-01-01,96023
Denmark,2021-01-01,637
France,2021-01-01,60973
Netherlands,2021-01-01,11452
New Zealand,2021-01-01,0
United Kingdom,2021-01-01,7606
Australia,2021-01-02,28484
Canada,2021-01-02,602383
China,2021-01-02,96086
Denmark,2021-01-02,641
France,2021-01-02,61080
Netherlands,2021-01-02,11484
New Zealand,2021-01-02,0
United Kingdom,2021-01-02,7759
Australia,2021-01-03,28504
Canada,2021-01-03,612008
China,2021-01-03,96160
Denmark,2021-01-03,647
France,2021-01-03,61082
Netherlands,2021-01-03,11539
New Zealand,2021-01-03,0
United Kingdom,2021-01-03,7885
Australia,2021-01-04,28517
Canada,2021-01-04,621725
China,2021-01-04,96246
Denmark,2021-01-04,649
France,2021-01-04,61144
Netherlands,2021-01-04,11590
New Zealand,2021-01-04,0
United Kingdom,2021-01-04,8020
Australia,2021-01-05,28536
Canada,2021-01-05,629253
China,2021-01-05,96310
Denmark,2021-01-05,654
France,2021-01-05,61697
Netherlands,2021-01-05,11758
New Zealand,2021-01-05,0
United Kingdom,2021-01-05,8197
Australia,2021-01-06,28546
Canada,2021-01-06,638164
China,2021-01-06,96398
Denmark,2021-01-06,668
France,2021-01-06,61863
Netherlands,2021-01-06,11897
New Zealand,2021-01-06,0
United Kingdom,2021-01-06,8429
Australia,2021-01-07,28571
Canada,2021-01-07,647395
China,2021-01-07,96484
Denmark,2021-01-07,670
France,2021-01-07,62117
Netherlands,2021-01-07,12015
New Zealand,2021-01-07,0
United Kingdom,2021-01-07,8609
Australia,2021-01-08,28582
Canada,2021-01-08,656285
China,2021-01-08,96562
Denmark,2021-01-08,673
France,2021-01-08,62356
Netherlands,2021-01-08,12149
New Zealand,2021-01-08,0
United Kingdom,2021-01-08,8752
Australia,2021-01-09,28595
Canada,2021-01-09,663175
China,2021-01-09,96690
Denmark,2021-01-09,675
France,2021-01-09,62762
Netherlands,2021-01-09,12208
New Zealand,2021-01-09,0
United Kingdom,2021-01-09,8890
Australia,2021-01-10,28614
Canada,2021-01-10,669579
China,2021-01-10,96824
Denmark,2021-01-10,675
France,2021-01-10,62905
Netherlands,2021-01-10,12251
New Zealand,2021-01-10,0
United Kingdom,2021-01-10,8970
Australia,2021-01-11,28634
Canada,2021-01-11,676999
China,2021-01-11,96920
Denmark,2021-01-11,675
France,2021-01-11,63139
Netherlands,2021-01-11,12303
New Zealand,2021-01-11,0
United Kingdom,2021-01-11,9099
Australia,2021-01-12,28650
Canada,2021-01-12,683802
China,2021-01-12,97095
Denmark,2021-01-12,675
France,2021-01-12,63629
Netherlands,2021-01-12,12408
New Zealand,2021-01-12,0
United Kingdom,2021-01-12,9222
Australia,2021-01-13,28660
Canada,2021-01-13,690893
China,2021-01-13,97275
Denmark,2021-01-13,676
France,2021-01-13,63858
Netherlands,2021-01-13,12519
New Zealand,2021-01-13,0
United Kingdom,2021-01-13,9360
Australia,2021-01-14,28669
Canada,2021-01-14,697912
China,2021-01-14,97448
Denmark,2021-01-14,677
France,2021-01-14,63965
Netherlands,2021-01-14,12619
New Zealand,2021-01-14,0
United Kingdom,2021-01-14,9479
Australia,2021-01-15,28689
Canada,2021-01-15,704861
China,2021-01-15,97616
Denmark,2021-01-15,678
France,2021-01-15,64570
Netherlands,2021-01-15,12692
New Zealand,2021-01-15,0
United Kingdom,2021-01-15,9604
Australia,2021-01-16,28708
Canada,2021-01-16,710662
China,2021-01-16,97775
Denmark,2021-01-16,679
France,2021-01-16,64860
Netherlands,2021-01-16,12756
New Zealand,2021-01-16,0
United Kingdom,2021-01-16,9699
Australia,2021-01-17,28721
Canada,2021-01-17,715546
China,2021-01-17,97939
Denmark,2021-01-17,679
France,2021-01-17,65059
Netherlands,2021-01-17,12801
New Zealand,2021-01-17,0
United Kingdom,2021-01-17,9775
Australia,2021-01-18,28731
Canada,2021-01-18,721591
China,2021-01-18,98164
Denmark,2021-01-18,679
France,2021-01-18,65121
Netherlands,2021-01-18,12839
New Zealand,2021-01-18,0
United Kingdom,2021-01-18,9850
Australia,2021-01-19,28740
Canada,2021-01-19,726907
China,2021-01-19,98323
Denmark,2021-01-19,680
France,2021-01-19,65805
Netherlands,2021-01-19,12923
New Zealand,2021-01-19,0
United Kingdom,2021-01-19,9938
Australia,2021-01-20,28749
Canada,2021-01-20,732741
China,2021-01-20,98544
Denmark,2021-01-20,682
France,2021-01-20,66066
Netherlands,2021-01-20,12996
New Zealand,2021-01-20,0
United Kingdom,2021-01-20,10022
Australia,2021-01-21,28755
Canada,2021-01-21,738584
China,2021-01-21,98725
Denmark,2021-01-21,682
France,2021-01-21,66408
Netherlands,2021-01-21,13064
New Zealand,2021-01-21,0
United Kingdom,2021-01-21,10111
Australia,2021-01-22,28760
Canada,2021-01-22,744252
China,2021-01-22,98886
Denmark,2021-01-22,682
France,2021-01-22,66737
Netherlands,2021-01-22,13119
New Zealand,2021-01-22,0
United Kingdom,2021-01-22,10177
Australia,2021-01-23,28766
Canada,2021-01-23,748554
China,2021-01-23,99047
Denmark,2021-01-23,682
France,2021-01-23,67420
Netherlands,2021-01-23,13171
New Zealand,2021-01-23,0
United Kingdom,2021-01-23,10267
Australia,2021-01-24,28777
Canada,2021-01-24,752494
China,2021-01-24,99247
Denmark,2021-01-24,682
France,2021-01-24,67818
Netherlands,2021-01-24,13220
New Zealand,2021-01-24,0
United Kingdom,2021-01-24,10362
Australia,2021-01-25,28780
Canada,2021-01-25,757846
China,2021-01-25,99402
Denmark,2021-01-25,682
France,2021-01-25,67879
Netherlands,2021-01-25,13244
New Zealand,2021-01-25,0
United Kingdom,2021-01-25,10398
Australia,2021-01-26,28786
Canada,2021-01-26,762210
China,2021-01-26,99541
Denmark,2021-01-26,684
France,2021-01-26,68161
Netherlands,2021-01-26,13289
New Zealand,2021-01-26,0
United Kingdom,2021-01-26,10508
Australia,2021-01-27,28794
Canada,2021-01-27,766661
China,2021-01-27,99655
Denmark,2021-01-27,684
France,2021-01-27,68196
Netherlands,2021-01-27,13379
New Zealand,2021-01-27,0
United Kingdom,2021-01-27,10556
Australia,2021-01-28,28799
Canada,2021-01-28,771305
China,2021-01-28,99746
Denmark,2021-01-28,684
France,2021-01-28,68744
Netherlands,2021-01-28,13450
New Zealand,2021-01-28,0
United Kingdom,2021-01-28,10685
Australia,2021-01-29,28806
Canada,2021-01-29,775993
China,2021-01-29,99848
Denmark,2021-01-29,684
France,2021-01-29,69196
Netherlands,2021-01-29,13518
New Zealand,2021-01-29,0
United Kingdom,2021-01-29,10779
Australia,2021-01-30,28811
Canada,2021-01-30,779696
China,2021-01-30,99968
Denmark,2021-01-30,684
France,2021-01-30,69384
Netherlands,2021-01-30,13575
New Zealand,2021-01-30,0
United Kingdom,2021-01-30,10859
Australia,2021-01-31,28818
Canada,2021-01-31,782899
China,2021-01-31,100063
Denmark,2021-01-31,684
France,2021-01-31,69640
Netherlands,2021-01-31,13600
New Zealand,2021-01-31,0
United Kingdom,2021-01-31,10955
Australia,2021-02-01,28823
Canada,2021-02-01,786910
China,2021-02-01,100127
Denmark,2021-02-01,684
France,2021-02-01,69681
Netherlands,2021-02-01,13637
New Zealand,2021-02-01,0
United Kingdom,2021-02-01,11024
Australia,2021-02-02,28829
Canada,2021-02-02,790540
China,2021-02-02,100177
Denmark,2021-02-02,684
France,2021-02-02,70359
Netherlands,2021-02-02,13700
New Zealand,2021-02-02,0
United Kingdom,2021-02-02,11098
Australia,2021-02-03,28838
Canada,2021-02-03,794141
China,2021-02-03,100226
Denmark,2021-02-03,684
France,2021-02-03,70869
Netherlands,2021-02-03,13773
New Zealand,2021-02-03,0
United Kingdom,2021-02-03,11147
Australia,2021-02-04,28842
Canada,2021-02-04,798070
China,2021-02-04,100268
Denmark,2021-02-04,685
France,2021-02-04,71347
Netherlands,2021-02-04,13838
New Zealand,2021-02-04,0
United Kingdom,2021-02-04,11245
Australia,2021-02-05,28848
Canada,2021-02-05,802034
China,2021-02-05,100318
Denmark,2021-02-05,685
France,2021-02-05,71667
Netherlands,2021-02-05,13885
New Zealand,2021-02-05,0
United Kingdom,2021-02-05,11320
Australia,2021-02-06,28851
Canada,2021-02-06,805005
China,2021-02-06,100348
Denmark,2021-02-06,685
France,2021-02-06,73067
Netherlands,2021-02-06,13931
New Zealand,2021-02-06,0
United Kingdom,2021-02-06,11415
Australia,2021-02-07,28857
Canada,2021-02-07,807583
China,2021-02-07,100389
Denmark,2021-02-07,686
France,2021-02-07,73067
Netherlands,2021-02-07,13960
New Zealand,2021-02-07,0
United Kingdom,2021-02-07,11487
Australia,2021-02-08,28860
Canada,2021-02-08,811089
China,2021-02-08,100435
Denmark,2021-02-08,686
France,2021-02-08,73093
Netherlands,2021-02-08,13985
New Zealand,2021-02-08,0
United Kingdom,2021-02-08,11510
Australia,2021-02-09,28871
Canada,2021-02-09,814037
China,2021-02-09,100475
Denmark,2021-02-09,687
France,2021-02-09,73860
Netherlands,2021-02-09,14054
New Zealand,2021-02-09,0
United Kingdom,2021-02-09,11588
Australia,2021-02-10,28879
Canada,2021-02-10,817646
China,2021-02-10,100494
Denmark,2021-02-10,687
France,2021-02-10,74182
Netherlands,2021-02-10,14115
New Zealand,2021-02-10,0
United Kingdom,2021-02-10,11658
Australia,2021-02-11,28887
Canada,2021-02-11,821022
China,2021-02-11,100527
Denmark,2021-02-11,687
France,2021-02-11,74951
Netherlands,2021-02-11,14152
New Zealand,2021-02-11,0
United Kingdom,2021-02-11,11710
Australia,2021-02-12,28892
Canada,2021-02-12,824332
China,2021-02-12,100559
Denmark,2021-02-12,687
France,2021-02-12,75616
Netherlands,2021-02-12,14198
New Zealand,2021-02-12,0
United Kingdom,2021-02-12,11757
Australia,2021-02-13,28898
Canada,2021-02-13,826853
China,2021-02-13,100578
Denmark,2021-02-13,687
France,2021-02-13,76038
Netherlands,2021-02-13,14233
New Zealand,2021-02-13,0
United Kingdom,2021-02-13,11810
Australia,2021-02-14,28900
Canada,2021-02-14,829063
China,2021-02-14,100599
Denmark,2021-02-14,687
France,2021-02-14,77000
Netherlands,2021-02-14,14257
New Zealand,2021-02-14,0
United Kingdom,2021-02-14,11832
Australia,2021-02-15,28905
Canada,2021-02-15,831031
China,2021-02-15,100624
Denmark,2021-02-15,687
France,2021-02-15,77030
Netherlands,2021-02-15,14287
New Zealand,2021-02-15,0
United Kingdom,2021-02-15,11848
Australia,2021-02-16,28911
Canada,2021-02-16,835009
China,2021-02-16,100639
Denmark,2021-02-16,688
France,2021-02-16,77252
Netherlands,2021-02-16,14325
New Zealand,2021-02-16,0
United Kingdom,2021-02-16,11861
Australia,2021-02-17,28912
Canada,2021-02-17,837870
China,2021-02-17,100666
Denmark,2021-02-17,688
France,2021-02-17,77785
Netherlands,2021-02-17,14388
New Zealand,2021-02-17,0
United Kingdom,2021-02-17,11904
Australia,2021-02-18,28918
Canada,2021-02-18,841320
China,2021-02-18,100684
Denmark,2021-02-18,688
France,2021-02-18,78901
Netherlands,2021-02-18,14442
New Zealand,2021-02-18,0
United Kingdom,2021-02-18,11943
Australia,2021-02-19,28920
Canada,2021-02-19,844465
China,2021-02-19,100705
Denmark,2021-02-19,688
France,2021-02-19,78923
Netherlands,2021-02-19,14503
New Zealand,2021-02-19,0
United Kingdom,2021-02-19,12012
Australia,2021-02-20,28926
Canada,2021-02-20,847038
China,2021-02-20,100727
Denmark,2021-02-20,688
France,2021-02-20,79869
Netherlands,2021-02-20,14557
New Zealand,2021-02-20,0
United Kingdom,2021-02-20,12062
Australia,2021-02-21,28930
Canada,2021-02-21,849446
China,2021-02-21,100758
Denmark,2021-02-21,688
France,2021-02-21,80296
Netherlands,2021-02-21,14584
New Zealand,2021-02-21,0
United Kingdom,2021-02-21,12066
Australia,2021-02-22,28937
Canada,2021-02-22,853020
China,2021-02-22,100784
Denmark,2021-02-22,688
France,2021-02-22,80304
Netherlands,2021-02-22,14624
New Zealand,2021-02-22,0
United Kingdom,2021-02-22,12081
Australia,2021-02-23,28939
Canada,2021-02-23,856043
China,2021-02-23,100807
Denmark,2021-02-23,688
France,2021-02-23,81198
Netherlands,2021-02-23,14674
New Zealand,2021-02-23,0
United Kingdom,2021-02-23,12119
Australia,2021-02-24,28947
Canada,2021-02-24,859102
China,2021-02-24,100832
Denmark,2021-02-24,688
France,2021-02-24,81495
Netherlands,2021-02-24,14726
New Zealand,2021-02-24,0
United Kingdom,2021-02-24,12127
Australia,2021-02-25,28957
Canada,2021-02-25,862255
China,2021-02-25,100851
Denmark,2021-02-25,688
France,2021-02-25,82360
Netherlands,2021-02-25,14759
New Zealand,2021-02-25,0
United Kingdom,2021-02-25,12162
Australia,2021-02-26,28965
Canada,2021-02-26,865370
China,2021-02-26,100886
Denmark,2021-02-26,688
France,2021-02-26,82592
Netherlands,2021-02-26,14815
New Zealand,2021-02-26,0
United Kingdom,2021-02-26,12226
Australia,2021-02-27,28970
Canada,2021-02-27,867872
China,2021-02-27,100924
Denmark,2021-02-27,688
France,2021-02-27,83262
Netherlands,2021-02-27,14854
New Zealand,2021-02-27,0
United Kingdom,2021-02-27,12250
Australia,2021-02-28,28978
Canada,2021-02-28,870009
China,2021-02-28,100965
Denmark,2021-02-28,688
France,2021-02-28,83262
Netherlands,2021-02-28,14874
New Zealand,2021-02-28,0
United Kingdom,2021-02-28,12269
Australia,2021-03-01,28986
Canada,2021-03-01,873521
China,2021-03-01,100990
Denmark,2021-03-01,688
France,2021-03-01,84028
Netherlands,2021-03-01,14895
New Zealand,2021-03-01,0
United Kingdom,2021-03-01,12278
Australia,2021-03-02,28996
Canada,2021-03-02,876575
China,2021-03-02,101013
Denmark,2021-03-02,688
France,2021-03-02,84043
Netherlands,2021-03-02,14931
New Zealand,2021-03-02,0
United Kingdom,2021-03-02,12297
Australia,2021-03-03,29007
Canada,2021-03-03,879527
China,2021-03-03,101037
Denmark,2021-03-03,688
France,2021-03-03,84775
Netherlands,2021-03-03,14974
New Zealand,2021-03-03,0
United Kingdom,2021-03-03,12332
Australia,2021-03-04,29021
Canada,2021-03-04,882766
China,2021-03-04,101055
Denmark,2021-03-04,689
France,2021-03-04,84782
Netherlands,2021-03-04,15022
New Zealand,2021-03-04,0
United Kingdom,2021-03-04,12402
Australia,2021-03-05,29029
Canada,2021-03-05,886081
China,2021-03-05,101074
Denmark,2021-03-05,689
France,2021-03-05,85322
Netherlands,2021-03-05,15086
New Zealand,2021-03-05,0
United Kingdom,2021-03-05,12482
Australia,2021-03-06,29034
Canada,2021-03-06,888735
China,2021-03-06,101097
Denmark,2021-03-06,689
France,2021-03-06,86104
Netherlands,2021-03-06,15145
New Zealand,2021-03-06,0
United Kingdom,2021-03-06,12561
Australia,2021-03-07,29046
Canada,2021-03-07,891104
China,2021-03-07,101132
Denmark,2021-03-07,689
France,2021-03-07,86114
Netherlands,2021-03-07,15183
New Zealand,2021-03-07,0
United Kingdom,2021-03-07,12645
Australia,2021-03-08,29061
Canada,2021-03-08,894870
China,2021-03-08,101149
Denmark,2021-03-08,691
France,2021-03-08,86339
Netherlands,2021-03-08,15193
New Zealand,2021-03-08,0
United Kingdom,2021-03-08,12755
Australia,2021-03-09,29074
Canada,2021-03-09,897901
China,2021-03-09,101175
Denmark,2021-03-09,691
France,2021-03-09,86490
Netherlands,2021-03-09,15279
New Zealand,2021-03-09,0
United Kingdom,2021-03-09,12857
Australia,2021-03-10,29090
Canada,2021-03-10,901111
China,2021-03-10,101194
Denmark,2021-03-10,691
France,2021-03-10,86524
Netherlands,2021-03-10,15362
New Zealand,2021-03-10,0
United Kingdom,2021-03-10,12953
Australia,2021-03-11,29102
Canada,2021-03-11,904549
China,2021-03-11,101225
Denmark,2021-03-11,691
France,2021-03-11,87450
Netherlands,2021-03-11,15461
New Zealand,2021-03-11,0
United Kingdom,2021-03-11,13035
Australia,2021-03-12,29112
Canada,2021-03-12,908320
China,2021-03-12,101292
Denmark,2021-03-12,691
France,2021-03-12,87487
Netherlands,2021-03-12,15558
New Zealand,2021-03-12,0
United Kingdom,2021-03-12,13110
Australia,2021-03-13,29117
Canada,2021-03-13,911136
China,2021-03-13,101349
Denmark,2021-03-13,691
France,2021-03-13,87600
Netherlands,2021-03-13,15705
New Zealand,2021-03-13,0
United Kingdom,2021-03-13,13193
Australia,2021-03-14,29130
Canada,2021-03-14,913539
China,2021-03-14,101378
Denmark,2021-03-14,692
France,2021-03-14,88126
Netherlands,2021-03-14,15783
New Zealand,2021-03-14,0
United Kingdom,2021-03-14,13270
Australia,2021-03-15,29137
Canada,2021-03-15,917424
China,2021-03-15,101421
Denmark,2021-03-15,692
France,2021-03-15,88359
Netherlands,2021-03-15,15840
New Zealand,2021-03-15,0
United Kingdom,2021-03-15,13311
Australia,2021-03-16,29154
Canada,2021-03-16,920902
China,2021-03-16,101443
Denmark,2021-03-16,692
France,2021-03-16,88384
Netherlands,2021-03-16,16004
New Zealand,2021-03-16,0
United Kingdom,2021-03-16,13379
Australia,2021-03-17,29166
Canada,2021-03-17,924532
China,2021-03-17,101460
Denmark,2021-03-17,692
France,2021-03-17,89266
Netherlands,2021-03-17,16220
New Zealand,2021-03-17,0
United Kingdom,2021-03-17,13414
Australia,2021-03-18,29183
Canada,2021-03-18,928459
China,2021-03-18,101481
Denmark,2021-03-18,692
France,2021-03-18,89386
Netherlands,2021-03-18,16433
New Zealand,2021-03-18,0
United Kingdom,2021-03-18,13444
Australia,2021-03-19,29192
Canada,2021-03-19,932806
China,2021-03-19,101498
Denmark,2021-03-19,692
France,2021-03-19,89478
Netherlands,2021-03-19,16635
New Zealand,2021-03-19,0
United Kingdom,2021-03-19,13514
Australia,2021-03-20,29196
Canada,2021-03-20,936125
China,2021-03-20,101518
Denmark,2021-03-20,692
France,2021-03-20,89516
Netherlands,2021-03-20,16867
New Zealand,2021-03-20,0
United Kingdom,2021-03-20,13566
Australia,2021-03-21,29206
Canada,2021-03-21,939232
China,2021-03-21,101533
Denmark,2021-03-21,692
France,2021-03-21,90196
Netherlands,2021-03-21,17065
New Zealand,2021-03-21,0
United Kingdom,2021-03-21,13610
Australia,2021-03-22,29211
Canada,2021-03-22,944319
China,2021-03-22,101560
Denmark,2021-03-22,692
France,2021-03-22,90213
Netherlands,2021-03-22,17141
New Zealand,2021-03-22,0
United Kingdom,2021-03-22,13675
Australia,2021-03-23,29221
Canada,2021-03-23,948363
China,2021-03-23,101582
Denmark,2021-03-23,692
France,2021-03-23,90231
Netherlands,2021-03-23,17380
New Zealand,2021-03-23,0
United Kingdom,2021-03-23,13712
Australia,2021-03-24,29230
Canada,2021-03-24,953360
China,2021-03-24,101603
Denmark,2021-03-24,692
France,2021-03-24,91397
Netherlands,2021-03-24,17719
New Zealand,2021-03-24,0
United Kingdom,2021-03-24,13735
Australia,2021-03-25,29239
Canada,2021-03-25,958527
China,2021-03-25,101623
Denmark,2021-03-25,692
France,2021-03-25,91417
Netherlands,2021-03-25,18035
New Zealand,2021-03-25,0
United Kingdom,2021-03-25,13792
Australia,2021-03-26,29252
Canada,2021-03-26,964138
China,2021-03-26,101646
Denmark,2021-03-26,692
France,2021-03-26,91670
Netherlands,2021-03-26,18513
New Zealand,2021-03-26,0
United Kingdom,2021-03-26,13840
Australia,2021-03-27,29259
Canada,2021-03-27,968260
China,2021-03-27,101663
Denmark,2021-03-27,692
France,2021-03-27,91676
Netherlands,2021-03-27,18875
New Zealand,2021-03-27,0
United Kingdom,2021-03-27,13884
Australia,2021-03-28,29276
Canada,2021-03-28,972288
China,2021-03-28,101675
Denmark,2021-03-28,692
France,2021-03-28,92622
Netherlands,2021-03-28,19143
New Zealand,2021-03-28,0
United Kingdom,2021-03-28,13969
Australia,2021-03-29,29296
Canada,2021-03-29,978897
China,2021-03-29,101692
Denmark,2021-03-29,692
France,2021-03-29,92634
Netherlands,2021-03-29,19364
New Zealand,2021-03-29,0
United Kingdom,2021-03-29,14099
Australia,2021-03-30,29304
Canada,2021-03-30,984131
China,2021-03-30,101710
Denmark,2021-03-30,692
France,2021-03-30,92655
Netherlands,2021-03-30,19602
New Zealand,2021-03-30,0
United Kingdom,2021-03-30,14128
Australia,2021-03-31,29322
Canada,2021-03-31,990649
China,2021-03-31,101732
Denmark,2021-03-31,692
France,2021-03-31,93794
Netherlands,2021-03-31,20190
New Zealand,2021-03-31,0
United Kingdom,2021-03-31,14191
Australia,2021-04-01,29333
Canada,2021-04-01,997003
China,2021-04-01,101753
Denmark,2021-04-01,692
France,2021-04-01,94021
Netherlands,2021-04-01,20684
New Zealand,2021-04-01,0
United Kingdom,2021-04-01,14278
Australia,2021-04-02,29341
Canada,2021-04-02,1001622
China,2021-04-02,101799
Denmark,2021-04-02,692
France,2021-04-02,93897
Netherlands,2021-04-02,21078
New Zealand,2021-04-02,0
United Kingdom,2021-04-02,14299
Australia,2021-04-03,29348
Canada,2021-04-03,1007584
China,2021-04-03,101821
Denmark,2021-04-03,692
France,2021-04-03,95223
Netherlands,2021-04-03,21589
New Zealand,2021-04-03,0
United Kingdom,2021-04-03,14300
Australia,2021-04-04,29357
Canada,2021-04-04,1011965
China,2021-04-04,101861
Denmark,2021-04-04,692
France,2021-04-04,95229
Netherlands,2021-04-04,21875
New Zealand,2021-04-04,0
United Kingdom,2021-04-04,14408
Australia,2021-04-05,29365
Canada,2021-04-05,1019481
China,2021-04-05,101901
Denmark,2021-04-05,692
France,2021-04-05,95061
Netherlands,2021-04-05,22094
New Zealand,2021-04-05,0
United Kingdom,2021-04-05,14477
Australia,2021-04-06,29379
Canada,2021-04-06,1030660
China,2021-04-06,101920
Denmark,2021-04-06,692
France,2021-04-06,95072
Netherlands,2021-04-06,22305
New Zealand,2021-04-06,0
United Kingdom,2021-04-06,14502
Australia,2021-04-07,29385
Canada,2021-04-07,1038816
China,2021-04-07,101953
Denmark,2021-04-07,692
France,2021-04-07,95999
Netherlands,2021-04-07,22389
New Zealand,2021-04-07,0
United Kingdom,2021-04-07,14537
Australia,2021-04-08,29390
Canada,2021-04-08,1047691
China,2021-04-08,101984
Denmark,2021-04-08,692
France,2021-04-08,96190
Netherlands,2021-04-08,22898
New Zealand,2021-04-08,0
United Kingdom,2021-04-08,14631
Australia,2021-04-09,29396
Canada,2021-04-09,1056884
China,2021-04-09,102012
Denmark,2021-04-09,692
France,2021-04-09,96354
Netherlands,2021-04-09,23245
New Zealand,2021-04-09,0
United Kingdom,2021-04-09,14704
Australia,2021-04-10,29405
Canada,2021-04-10,1064849
China,2021-04-10,102027
Denmark,2021-04-10,692
France,2021-04-10,97758
Netherlands,2021-04-10,23577
New Zealand,2021-04-10,0
United Kingdom,2021-04-10,14833
Australia,2021-04-11,29419
Canada,2021-04-11,1072034
China,2021-04-11,102056
Denmark,2021-04-11,692
France,2021-04-11,97760
Netherlands,2021-04-11,23786
New Zealand,2021-04-11,0
United Kingdom,2021-04-11,14833
Australia,2021-04-12,29429
Canada,2021-04-12,1082405
China,2021-04-12,102078
Denmark,2021-04-12,692
France,2021-04-12,97774
Netherlands,2021-04-12,23842
New Zealand,2021-04-12,0
United Kingdom,2021-04-12,14951
Australia,2021-04-13,29450
Canada,2021-04-13,1090601
China,2021-04-13,102103
Denmark,2021-04-13,692
France,2021-04-13,98771
Netherlands,2021-04-13,23936
New Zealand,2021-04-13,0
United Kingdom,2021-04-13,14984
Australia,2021-04-14,29469
Canada,2021-04-14,1099965
China,2021-04-14,102118
Denmark,2021-04-14,693
France,2021-04-14,98930
